tweet_id,rating_numerator,rating_denominator,name,age_category
871762521631449091,12,10,Rover,pupper
871515927908634625,12,10,Napolean,doggo
871166179821445120,12,10,Dawn,
871102520638267392,14,10,,doggo
871032628920680449,13,10,Boomer,
870804317367881728,11,10,,
870726314365509632,10,10,,
870656317836468226,13,10,Cody,
870374049280663552,13,10,Zoey,
870308999962521604,13,10,Rumble,
870063196459192321,14,10,Clifford,
869988702071779329,12,10,,
869772420881756160,13,10,Dewey,
869702957897576449,13,10,Stanley,
869596645499047938,12,10,Scout,doggo
869227993411051520,13,10,Gizmo,
868880397819494401,14,10,Walter,
868639477480148993,12,10,Cooper,
868622495443632128,13,10,,
868552278524837888,12,10,Cooper,
867900495410671616,12,10,,
867774946302451713,13,10,Harold,
867421006826221569,12,10,Shikha,puppo
867072653475098625,13,10,,
867051520902168576,13,10,,
866816280283807744,13,10,Jamesy,pupper
866720684873056260,13,10,,
866686824827068416,12,10,Lili,
866450705531457537,13,10,Jamesy,pupper
866334964761202691,12,10,Coco,
866094527597207552,12,10,,pupper
865718153858494464,13,10,Boomer,
865359393868664832,13,10,Sammy,
865006731092295680,13,10,Nelly,
864873206498414592,14,10,,
864279568663928832,12,10,Meatball,
864197398364647424,13,10,Paisley,
863907417377173506,13,10,Albus,
863553081350529029,13,10,Neptune,
863471782782697472,13,10,Quinn,
863432100342583297,12,10,Belle,
863427515083354112,12,10,,
863079547188785154,14,10,,
863062471531167744,13,10,Quinn,
862831371563274240,13,10,Zooey,
862722525377298433,11,10,Dave,
862457590147678208,13,10,Jersey,
862096992088072192,13,10,,
861769973181624320,13,10,,
861383897657036800,13,10,Hobbes,
861288531465048066,13,10,,
861005113778896900,12,10,Burt,
860981674716409858,13,10,Lorenzo,
860924035999428608,13,10,,
860563773140209665,13,10,Lorenzo,
860524505164394496,13,10,Carl,
860276583193509888,12,10,Jordy,
860184849394610176,14,10,,
860177593139703809,10,10,,
859924526012018688,12,10,Milky,
859851578198683649,13,10,Trooper,
859607811541651456,13,10,,puppo
859196978902773760,12,10,,
859074603037188101,13,10,,
858860390427611136,12,10,Winston,
858843525470990336,13,10,,doggo
858471635011153920,13,10,Sophie,
858107933456039936,12,10,Wyatt,
857989990357356544,12,10,Rosie,
857746408056729600,13,10,Thor,
857393404942143489,13,10,,
857263160327368704,13,10,Oscar,
857214891891077121,12,10,,
857062103051644929,13,10,,
857029823797047296,12,10,Zeke,
856602993587888130,13,10,Luna,
856543823941562368,12,10,Callie,
856526610513747968,14,10,,
856330835276025856,14,10,,
856288084350160898,14,10,,
856282028240666624,14,10,Cermet,
